ID,post_content
4000,"<p>yo mommas armpits so harry it looks like she goy godzilla in a headlock</p>
"
4001,"<p>A Jewish lawyer was troubled by the way his son turned out, and went to see his Rabbi about it. ""I brought him up in the faith, gave him a very expensive bar mitzvah, cost me a fortune to educate him. Then he tells me last week he has decided to be a Christian. Rabbi... where did I go wrong?""</p>
<p>""Funny you should come to me,"" said the Rabbi. ""Like you, I, too, brought my boy up in the faith, put him through University, cost me a fortune, then one day he comes and tells me he has decided to become a Christian.""</p>
<p>""What did you do?"" asked the lawyer. ""I turned to God for the answer,"" replied the rabbi.</p>
<p>""And what did he say?""</p>
<p>He said, ""Funny you should come to me...""</p>
"
4002,"<p>Do mountains have ears?...................................................<br /> Yes mountaineers!!!!!!</p>
"
4003,"<p>What do you get when you cross a rooster and peanut butter? </p>
<p>A cock that sticks to the roof of your mouth!</p>
"
4004,"<p>In a class on abnormal psychology, the instructor was about to introduce the subject of manic depression.</p>
<p>The instructor asked, ""How would you diagnose a patient who walks back and forth, screaming at the top of his lungs one minute, then sits in a chair weeping uncontrollably the next?""</p>
<p>A young man in the rear raised his hand and suggested earnestly, ""A basketball coach?""</p>
<p>Submitted by Calamjo<br /> Edited by Curtis</p>
"
4005,"<ul>
<li>Man who keep feet firmly on the ground have trouble putting on pants.</li>
<li>If you want pretty nurse, you got to be patient.</li>
<li>Passionate kiss, like spider web, lead to undoing of fly.</li>
<li>He who walk through airport door sideways going to Bangkok.</li>
<li>Boy who go to sleep with stiff problem wake up with solution in hand.</li>
<li>Couple on seven-day honeymoon make whole week.</li>
<li>Girl who sit on jockey's lap get hot tip.</li>
<li>Girl who sit on judge's lap get honorable discharge.</li>
<li>Girl who go camping must beware of evil intent.</li>
<li>Man who stand on street corner with hands in pockets, not feeling crazy -- feeling nuts.</li>
<li>Squirrel who run up woman's leg not find nuts.</li>
<li>He who run behind bus get exhausted.</li>
<li>Man with tight trousers is pressing his luck.</li>
<li>He who fish in other's hole often catch crabs. </li>
</ul>
"
4006,"<p>So this isn't Home Sweet Home ...  Adjust!</p>
<p>Martha Stewart doesn't live here!!</p>
<p>Ring bell for maid service.  If no answer, do it yourself!</p>
<p>I clean house every other day.  Today is the other day.</p>
<p>If you write in the dust, please don't date it!</p>
<p>I would cook dinner but I can't find the can opener!</p>
<p>My house was clean last week, too bad you missed it!</p>
<p>I came, I saw, I decided to order take out.</p>
<p>If you don't like my standards of cooking ...lower your<br /> standards.</p>
<p>Although you'll find our house a mess, Come in, sit down,<br /> converse.</p>
<p>It doesn't always look like this: Some days it's even<br /> worse.</p>
<p>A messy kitchen is a happy kitchen, and this kitchen is<br /> delirious.</p>
<p>A balanced diet is a cookie in each hand!</p>
<p>Thou shalt not weigh more than thy refrigerator.</p>
<p>Blessed are they who can laugh at themselves for they<br /> shall never cease to be amused.</p>
<p>Countless number of people have eaten in this kitchen and<br /> gone on to lead normal lives.</p>
<p>My next house will have no kitchen ...  just vending<br /> machines.</p>
<p>I'd live life in the fast lane, but I am married to a<br /> speed bump.</p>
"
4007,"<p>Q: How can you tell if a blonde has been in your refrigerator?</p>
<p>A: By the lipstick on your cucumbers.</p>
"
4008,"<p>Q: Why did the rooster cross the road?<br /> A: He was stapled to the chicken!</p>
"
4009,"<p>The Irish RAF stormed the RSPCA. They went to kill the five<br /> Afgans held there.</p>
"
4010,"<p>How many sailors does it take to remove a light bulb?</p>
<p>Two or more. </p>
<p>One sober sailor to hold the bulb and the rest drink until the room spins.</p>
"
4011,"<p>a blonde barbie was walking around the room.<br /> but her owner was about 1 year old so she<br />  took off the barbies clothes and ate them<br /> barbie was still walking around the room when<br />  her boyfriend ken asked why she was naked and she said,""its hip its cool i drink my<br />  dogs drool the hip to the hop my hair is like<br /> a mop bougars and snot are really really hot<br />  its like i dont care cause i dont have underwear.</p>
<p> ""</p>
"
4012,"<p>These are intended for entertainment purposes only. We do not advise that you ever do these things to a roommate or yourself.158. Hang a basketball net on the wall.  Challenge your refrigerator to basketball games, and play them in front of your roommate.  Do so for about a month.  Confide in your roommate that you think the refrigerator has been taking steroids.</p>
"
4013,"<p>Un borracho le grita a su mujer:</p>
<p>""�Mi amor, tu mam� se cay� del segundo piso!""</p>
<p>""�C�mo! �Cu�ndo fue?""</p>
<p>""�Hace como dos horas!""</p>
<p>""�Y ahora me vienes a decir, borracho estupido!""</p>
<p>""�Es que no pod�a hablar de la risa!""</p>
"
4014,"<p>Q: Why is a blonde like a door knob?</p>
<p>A: Because everybody gets a turn.</p>
"
4015,"<p>Farmer Jake had a nagging wife who made his life miserable. The only real peace that he got was when he was out in the field plowing.</p>
<p>One day when he was out in the field, Jake's wife brought his lunch to him. Then she stayed while he quietly ate and berated him with a constant stream of nagging and complaining.</p>
<p>Suddenly, Jake's old mule kicked up his back legs, striking the wife in the head, and killing her instantly.</p>
<p>At the wake, Jake's minister noticed that when the women offered their sympathy to Jake he would nod his head up and down, but when the men came up and spoke quietly to him, he would shake his head from side to side.</p>
<p>When the wake was over and all the mourners had left, the minister approached Jake and asked, ""Why was it that you nodded your head up and down to all the women and shook your head from side to side to all the men?""</p>
<p>""Well,"" Jake replied, ""the women all said how nice she looked, and her dress was so pretty, so I agreed by nodding my head up and down. The men all asked, 'Is that mule for sale?' and I shook my head, no.""</p>
"
4016,"<p>There was a guy who was struggling to decide what to wear to go to a fancy costume party... Then he had a bright idea. </p>
<p>When the host answered the door, he found the guy standing there with no shirt and no socks on. </p>
<p>""What the hell are you supposed to be?"" asked the host. </p>
<p>""A premature ejaculation,"" said the man. ""I just came in my pants!""</p>
"
