ID,post_content
47000,"<p>There were these 3 criminals who had just robbed a bank in Egypt. They were<br /> caught, convicted, and sentenced to exile in the Sahara Desert and they could<br /> each take only one thing. When they met in the desert they each were telling<br /> what they had brought.<br /> ""I brought a loaf of bread, so when I get hungry, I'll have something to eat,""<br /> said the first criminal.<br /> ""I brought a water skin, so that when I get thirsty, I'll have something to<br /> drink,"" said the second.<br /> ""I brought a car door, so that when it gets hot I can roll down the window.""</p>
"
47001,"<p>A mother of three is cleaning the kitchen when her youngest girl walks in and asks 'Mom where do babies come from? 'Looking surprised she answers, ' A baby is made when a man and a woman that love and trust each other go to a bedroom, and the man puts his penis in the woman's vagina and a baby is made. 'The little girl then says, 'Oh ok. But last night when I was getting a drink I saw daddy's penis in your mouth. What do you get with that? The mother answers, 'Jewelry, my dear. Jewelry.'</p>
"
47002,"<p>Out in the middle of darkest Africa there was a White Missionary<br /> living with a tribe of black natives.</p>
<p>On day the big chief comes along and calls the Missionary into<br /> his hut, where he was sharpening his big axe.  He explains to the white<br /> man that his daughter has just given birth to a white baby, and<br /> that since he's the only white man for thousands of miles, he will<br /> be the main course that night.</p>
<p>""Now just hang on a minute, give me a chance to explain chief,""<br /> says the Missionary. ""You're jumping to conclusions here.  Let me<br /> tell you a story.  See all those white sheep out in the field and<br /> how there's one black one amongst them.""</p>
<p>""OK!"" says the Chief,"" You say nothing, I say nothing!""</p>
"
47003,"<p>Q: How many East Carolina University students does it take to change a light bulb?<br /> A: Just one, but it takes six years!!</p>
"
47004,"<p>When the man first noticed that his penis was growing longer, he was delighted. But several weeks and several inches later, he became concerned and went to see a urologist.While his wife waited outside, the physician examined him and explained that, thought rare his condition could be corrected by minor surgery.The patient's wife anxiously rushed up to the doctor after the examination and was told of the diagnosis and the need for surgery.""How long will he be on crutches?"" she asked.""Crutches???"" the doctor asked.""Well, yes,"" the woman said ""You are going to lengthen his legs, aren't you?""</p>
"
47005,"<p>A dead Scotsman.</p>
"
47006,"<p>Which is worse, a Vice-President who can't spell or a President who can't add?</p>
"
47007,"<p>a.How duse a blond turn on the light after having sex.b.kick open the car door.</p>
"
47008,"<p>Men are like department stores.... their clothes should always be half off.<br /> Men are like vacations.... they never seem to be long enough. </p>
<p>Men are like computers... hard to figure out and never have enough memory. </p>
<p>Men are like coolers... load them with beer and you can take them anywhere </p>
<p>Men are like chocolate bars.... sweet, smooth, and they usually head right for your hips. </p>
<p>Men are like coffee.... the best ones are rich, warm, and can keep you up all night long. </p>
<p>Men are like horoscopes.... they always tell you what to do and are usually wrong. </p>
<p>Men are like plungers... they spend most of their lives in a hardware store or the bathroom. </p>
<p>Q: Why are men like laxatives? </p>
<p>A: They irritate the shit out of you </p>
<p>--------------------------------------------------------------------------------<br /> Q: Why did God create man?<br /> A: Because vibrators don't mow lawns </p>
<p>--------------------------------------------------------------------------------<br /> Q: What are two reasons men don't mind their own business?<br /> A: No mind-No business </p>
<p>--------------------------------------------------------------------------------<br /> Q: Why is it hard for a women to find men who are sensitive,caring and good looking?<br /> A: Because those men already have boyfriends </p>
<p>--------------------------------------------------------------------------------<br /> Q: How is a man like a snowstorm?<br /> A: You never know when he's coming, how many inches you'll get or how long it will last. </p>
<p>--------------------------------------------------------------------------------<br /> Q: Why are men given larger brains than dogs?<br /> A: So they don't hump women's legs at cocktail parties </p>
<p>--------------------------------------------------------------------------------<br /> Q: Why can't men get mad cow disease?<br /> A: Because they're all pigs</p>
"
47009,"<p>What is your wife trying to tell you if she's wearing a Blues shirt in bed? </p>
<p>You ain't gonna a score - ever.</p>
"
