ID,post_content
25000,"<p>Managed Friendship Plan</p>
<p>Welcome to Managed Friendship, a whole new way of thinking about<br /> friends and relationships.  The Managed Friendship Plan (MFP) combines<br /> all the advantages of a traditional friendship network with important<br /> cost-saving features.</p>
<p>How Does It Work?</p>
<p>Under the Plan, you choose your friends from a network of pre-screened<br /> accredited Friendship Providers (FPs).  All your friendship needs are<br /> met by members of your Managed Friendship Staff.</p>
<p>What's Wrong with my Current Friends?</p>
<p>If you're like most people, you are receiving friendship services from<br /> a network of providers haphazardly patched together from your old<br /> neighborhoods, jobs, and schools.  The result is often costly<br /> duplication, inefficiency, and conflict.  Many of your current friends<br /> may not meet national standards, responding to your needs with<br /> inappropriate, outmoded,or even experimental acts of friendship.<br /> Under Managed Friendship, your friendship needs are coordinated by<br /> your designated Best Friend, who will ensure the quality and goodness<br /> of fit of all your friendly relationships.</p>
<p>How Do I Know That the Plan's Panel of Friends Is Not Made Up of a Bunch<br /> of Losers Who Can't Make Friends on Their Own?</p>
<p>Many of today's most dedicated and highly trained Friendship Providers<br /> are as concerned as we are about delivering Quality Friendship in a<br /> cost-effective manner.  They have joined our network because they want<br /> to focus on acting like a friend rather than doing the paperwork and<br /> paying the high bad-friendship premiums that have caused the cost of<br /> traditional friendship to skyrocket.  Our Friendship Providers have<br /> met our rigorous standards of companionship and loyalty.</p>
<p>What If I Need a Special Friend, Say, for Poker or Fishing?</p>
<p>Special Friends are responsible for most of the unnecessary and<br /> expensive activities that burden already costly relationships.  Under<br /> the Managed Friendship Plan, your Best Friend is qualified to<br /> pre-approve your referral to a Special Friend within the Managed<br /> Friendship Network should your needs fall outside of the scope of<br /> his/her friendship.</p>
<p>Suppose I Want to See Friends Outside the Managed Friendship Network?</p>
<p>You may make friends outside of the Managed Friendship Network only in<br /> the event of a Friendship Emergency.</p>
<p>What is a Friendship Emergency?</p>
<p>The Managed Friendship Plan covers your friendship needs 24 hours a<br /> day, 365 days a year, even if you need a friend out of town, after<br /> regular business hours, or when your Best Friend is with someone else.<br /> You might be on a business trip, for instance, and suddenly find that<br /> you feel lonely. In such cases, you may make a New Friend, and all<br /> approved friendly activities will be covered under the Plan, provided<br /> you notify the Managed Friendship Office (or 24-hour Friendship<br /> Hotline) within two business days.</p>
<p>What Friendly Activities Are Covered Under the Plan?</p>
<p>Friendly Activities that are typically covered include:<br /> * Agreeing with you<br /> * Appearing sympathetic<br /> * Chewing the fat<br /> * Dropping by<br /> * Feeling your pain<br /> * Gossiping<br /> * Hanging out<br /> * Holding your hand (up to 5 minutes per activity)*<br /> * Joshing<br /> * Kidding around<br /> * Listening to you whine<br /> * Partying<br /> * Passing the time<br /> * Patting your back<br /> * Ribbing<br /> * Sharing a meal<br /> * Shooting the breeze<br /> * Slinging the bull<br /> * Teasing (up to 15 minutes under the Premium Gold Friendship Plan)</p>
<p>What Friendly Activities Are Not Covered Under the Plan?</p>
<p>Activities that would not be pre-approved include (but are not limited to):<br /> * Bar hopping<br /> * Bending over backwards<br /> * Drinking to excess<br /> * Giving a hoot<br /> * Going the extra mile<br /> * Lending money<br /> * Real empathy<br /> * Truly caring<br /> * Using illicit drugs</p>
<p>How Can I Find Out More About the Managed Friendship Plan?</p>
<p>A simple call is all it takes.  If you need a friend, just call our<br /> toll-free number.  Or visit our web site.  Sign up for the Managed<br /> Friendship Plan and rest easier that all of your appropriate<br /> friendship needs will be met.</p>
<p>Who Decides What's Appropriate for Me?<br /> We do.  Isn't that what friends are for?</p>
"
25001,"<p>A 12-year-old boy comes up to the Polak and says, ""I was looking in your bedroom window last night and I saw your wife giving you a blow job. Nyah, nyah, nyah.""</p>
<p>The Polak answers, ""The joke's on you, Johnny.<br /> Nyah, nyah, nyah--I wasn't even home last night!""</p>
"
25002,"<p>Un d�a se acerca una joven al confesionario y dice:</p>
<p>""Padre, confi�some porque he pecado"".</p>
<p>""A ver hija, �qu� te ha pasado?""</p>
<p>""Padre, ayer me he acostado con el cura de la parroquia vecina"".</p>
<p>""Muy mal hecho, hija, muy mal, porque t� perteneces a �sta"".</p>
"
25003,"<p>What do you call an Irishman who looks forward to the Spring?</p>
<p>Paddy O' Furniture.</p>
"
25004,"<p>A man walked into a bar with his alligator and asked the bartender, ""Do<br /> you serve lawyers here?""</p>
<p>""Sure do,"" replied the bartender.</p>
<p>""Good,"" said the man. ""Give me a beer, and I'll have a lawyer for my 'gator.""</p>
"
25005,"<p>a Koala bear was bored and had nothing to do, so he decided to pick up a hooker, after he was done with her, he told her U can leave now, the hooker picked up a dictionary and said the definition of hooker ""gets paid for sex"". the Koala bear picked up a dictionary and said the definition of Koala bear ""eats bush and leaves""</p>
"
25006,"<p>Jack and Jill were working in a factory. One day the supervisor approaches Jill and says, ""Jill. I'm afrid I'm going to have to lay you or Jack off."" Jill replies,""Well, you better Jack off because I'm too tired.""</p>
"
25007,"<p>Knock KnockWho's there?Beezer!Beezer who?Beezer black and yellow and make honey!</p>
"
25008,"<p>This lady approaches a priest and tells him, ""Father, I have a problem. I have these two talking parrots, but they only know how to say one thing.""</p>
<p>""What do they say?"", the priest asked. </p>
<p>""They only know how to say, 'Hi, we're prostitutes. Do you want to have some fun?'.""</p>
<p>""That's terrible!"", the priest exclaimed. ""I do have a solution to your problem. Bring your two talking female parrots over to my house and I will put them with my two male talking parrots who I have taught to pray and read the Bible, then my parrots will teach your parrots to stop saying that terrible phrase and your female parrots will learn to pray and worship.""</p>
<p>""Thank you."" said the lady. </p>
<p>So the next day, the lady brings her female parrots to the priest's house. The priest's two male parrots are holding rosary beads and praying in their cage. The lady put her female talking parrots in with the male talking parrots and the female parrots said, ""Hi, we're prostitutes! Do you want to have some fun?"" </p>
<p>One male parrot looked over at the other male parrot and screams, ""Put your Bible away Frank, our prayers have been answered!""</p>
"
25009,"<p>McAteer arrived at J.F.K. Airport and wandered about the terminal with tears<br /> streaming down his cheeks. An airline employee asked him if he was already<br /> homesick. ""No,"" replied McAteer. ""I've lost all me luggage!"" ""How'd that<br /> happen?"" ""The cork fell out,"" said the Irishman.</p>
"
25010,"<p>Q: How does a blonde commit suicide?<br /> A: She gathers her clothes into a pile and jumps off.</p>
"
25011,"<p>Little Johnny and his dad went shopping at the grocery store. Walking down an aisle, Johnny asked his dad if he could have a box of Lucky Charms. </p>
<p>His dad said,"" Well, Johnny, can you touch your asshole with your dick?"" </p>
<p>Johnny said, ""No!!"" </p>
<p>Johnny's dad said, ""Well, there's your answer.""</p>
<p>Later, Johnny asked if he could have Spagettios. </p>
<p>His dad, again, said, ""Can you touch your asshole with your dick?"" </p>
<p>Johnny said,""No!!"" </p>
<p>His dad said, ""Well, there's your answer."" </p>
<p>At the end of the shopping trip, Johnny's dad felt bad about how he had talked to Johnny, so he bought him an instant lottery ticket. </p>
<p>Johnny scratched the ticket and found that he won $1,000!!! </p>
<p>His dad said,""Hey, Johnny, you gonna share the money with your old man?"" </p>
<p>Johnny asked,""Dad, can you touch your asshole with your dick?"" </p>
<p>Johnny's dad said,""As a matter of fact, I can!""</p>
<p>Johnny said,""GOOD, GO FUCK YOURSELF!!""</p>
"
25012,"<p>there was a guy name Brandon and his gilfreand name gabby . gabby ask Brandon do you want to do it. brandon said we suoud use codeso thay did gabby ask agin brandon said yes i will have sex with you to night in fact the person writeing this joke is a real person that person is nacked writeing the joke now and he is have sex right now.</p>
"
25013,"<p>Knock KnockWho's there?Gracie!Gracie who!Gracie for you!</p>
"
25014,"<p>Why did Adam and Eve eat the apple of knowledge??<br /> because obviously they were pretty dumb not to kno theyre naked.</p>
"
