ID,post_content
49000,"<p>What do you get when a blonde graduates from Harvard with a 4.0 average?</p>
<p>A dean who has been very happy for the last 4 years.</p>
"
49001,"<p>Why does California have the most attorneys, and New Jersey have the most<br /> toxic waste dumps?<br /> New Jersey got first pick.</p>
"
49002,"<p>One day a big Indian Chief goes to his local Pharmasave. He goes up to the clerk and says ""Last night me fuck squaw, left nut go oomph right nut go oompf, dick go oomph, condom go BOOM!""Now the clerk was quite impressed by this sexual feat so he grabs some Trojans for professionals and tells the chief to come back and tell him how they worked.The next day the big Chief comes back to the Pharmasave, goes right up to the clerk and gruffly says ""Last night me fuck squaw, left nut go oomph, right nut go oompf, dick go oomph, condom go BOOM!""The clerk thinks to himself ""Damn, this guy has super ejaculation going on"" so he goes into the back of the store and gets a prototype condom for the Chief. The description on the box read: This is a joint effort between Goodyear and Michelin. This condom is steel belted and should only be used in extreme circumstances.The clerk hands the condom to the Chief and tells him this, and to come back and tell him how it worked.The next day the chief comes back on crutches with a shotgun under his arm. He storms up to the clerk. The clerk is thinking ""Oh Shit! The condom must not have worked and he's real pissed.""The chief yells ""LAST NIGHT ME FUCK SQUAW!! LEFT NUT GO OOMPH!!!!....RIGHT NUT GO OOMPH!!! ..... DICK GO OOMPH!!..... CONDOM GO OOMPH!!!!......... LEFT NUT GO BOOM!!!""</p>
"
49003,"<p>The simple step of a courageous individual is not to take part<br /> in the falsehood. One word of truth outweighs the world.</p>
<p>- Alexander Solzhenitsyn</p>
"
49004,"<p>your mama is so fat a bus hit her and she said who threw the rock</p>
"
49005,"<p>Why did the condom fly across the room?? It got pissed off!!!</p>
"
49006,"<p>A little girl was playing in the garden when she spotted two<br /> spiders mating.</p>
<p>""Daddy, what are those two spiders doing?"" she asked<br /> ""They're mating,"" her father replied.<br /> ""What do you call the spider on top, Daddy?"" she asked<br /> ""That's a daddy longlegs."" her father answered.<br /> ""So, the other one is a mommy longlegs ?"" the little girlasked.<br /> ""No,"" her father replied. ""Both of them are daddy longlegs.""</p>
<p>The little girl thought for a moment, then took her foot and<br /> stamped them flat.</p>
<p>""Well, we're not having THAT sort of poofter shit in our<br /> garden.""</p>
"
49007,"<p>The new mother got out of bed for the first time since her childbirth dressed in her robe and walked down the hospital hallway to the nurses desk where she asked for a phone book.</p>
<p>""What are you doing out here! You should be in your room resting,"" the nurse exclaimed.</p>
<p>""I want to search through the phone book for a name for my baby,"" the new mother replied.</p>
<p>""You don't have to do that here. The hospital furnished a booklet to all new mothers to assist them in picking a first name for their baby.""</p>
<p>""You don't understand,"" the woman said and frowned.<br /> ""My baby already has a FIRST name!""</p>
"
49008,"<p>-What makes Britain so strong? -It�s the two-party system. One big<br /> party on every friday and another big party on every saturday</p>
"
49009,"<p>Programmers Sayings... </p>
<p>''BASIC - A programming language. Related to certain social diseases in that those who have it will not admit it in polite company.'' -- Anon. </p>
<p>''I speak BASIC to clients, 1-2-3 to management, and mumble to myself.'' -- Anon. </p>
<p>''If you're masochistic enough to program in ADA, we're not going to stop you.'' -- Matt Welsh </p>
<p>''Don't get suckered in by the comments ... they can terribly be misleading.'' -- Dave Storer </p>
<p>''If we can dispel the delusion that learning about computers should be an activity of fiddling with array indexes and worrying whether X is an integer or a real number, we can begin to focus on programming as a source of ideas.'' -- Harold Abelson </p>
<p>''Optimization hinders evolution.'' -- Anon. </p>
<p>''Programming graphics in X is like finding the square root of PI using Roman numerals.'' -- Henry Spencer </p>
<p>''The best book on programming for the layman is Alice in Wonderland; but that's because it's the best book on anything for layman.'' -- Anon. </p>
<p>''The computer programmer is a creator of universes for which he alone is responsible. Universes of virtually unlimited complexity can be created in the form of computer programs.'' -- Joseph Weizenbaum </p>
<p>''C makes it easy to shoot yourself in the foot. C++ makes it harder, but when you do, it blows away your whole leg.'' -- Bjarne Stroustrup </p>
<p>''He who hasn't hacked assemply language as a youth has no heart. He who does as an adult has no brain.'' -- John Moore </p>
<p>''Pascal keeps your hand tied. C gives you enough rope to hang yourself.'' -- Anon. </p>
<p>''Perl - The only language that looks the same before and after RSA encryption.'' -- Keith Bostic </p>
<p>''A program is a spell cast over a computer, turning input into error messages.'' -- Anon. </p>
<p>''Real programmers are those that can sleep in front of terminals ... with their eyes opened.'' -- ricS </p>
<p>''Real programmers can write assembly code in any language.'' -- Larry Wall </p>
<p>''Real programmers don't work from 9 to 5. If any real programmers are around at 9am it's because they were up all night.'' -- Anon. </p>
<p>''Real programmers don't write in PL/I. PL/I is for programmers who can't decide whether to write in COBOL or FORTRAN.'' -- Anon. </p>
<p>''There are two ways of constructing a software design: One way is to make it so simple that there are obviously no deficiencies, and the other way is to make it so complicated that there are no obvious deficiencies. The first method is far more difficult.'' -- C.A.R. Hoare </p>
<p>''A complex system that works is invariably found to have evolved from a simple system that worked.'' -- John Gall </p>
<p>''A crash is when your competitor's program dies. When your program dies, it is an 'idiosyncrasy'. Frequently, crashes are followed with a message like 'ID 02'. 'ID' is an abbreviation for idiosyncrasy and the number that follows indicates how many more months of testing the product should have had.'' -- Guy Kawasaki </p>
<p>''There are two ways to write error-fre</p>
"
