ID,post_content
8000,"<p>The Encino School Board has declared Jewish English a second language. Backers of the move say the district is the first in the nation to recognize Hebonics as the language of many of America's Jews. </p>
<p>Here are some descriptions of the characteristics of the language, and samples of phrases in standard english and jewish english. Samples of pronunciation characteristics: Jewish english or ""Hebonics"" hardens consonants at the end of words. Thus, ""hand"" become ""handt."" The letter ""w"" is always pronounced as if it were a ""v."" Thus, ""walking"" becomes ""valking."" ""R"" sounds are transformed to a guttural utterance that is virtually impossible to spell in English. It's ""ghraining"" ""alghready."" </p>
<p>Samples of idiomatic characteristics- questions are always answered with questions: Question: ""How do you feel?"" Hebonics response: ""How should I feel?"" The subject is often placed at the end of a sentence after a pronoun has been used at the beginning: ""She dances beautifully, that girl."" The sarcastic repetition of words by adding ""sh"" to the front is used for emphasis."" Mountains becomes ""shmountains""; turtle becomes ""shmurtle"" Sample usage comparisons: </p>
<p>  <strong>Standard English Phrase</strong> <strong>Hebonics Phrase</strong>   ""I hope things turn out for the best""  ""you should be so lucky""   ""he walks slow""  ""like a fly in the ointment he walks""   ""sorry, I do not know the time"" ""what do I look like, a clock?""   ""you're sexy""  (unknown concept)   ""anything can happen"" ""It is never so bad, it can't get worse""   </p>
<p>There is late breaking information that the Boston School Board has declared the language spoken by Italian-Americans a second language, to be known as ""Italics.""</p>
"
8001,"<p>Knock KnockWho's there?Weevil!Weevil who?Weevil work it out!</p>
"
8002,"<p>Two boll weevils grew up in South Carolina.  One went to Hollywood and became a famous actor.  The other stayed behind in the cotton fields and never amounted to much.  The second one, naturally, became known as the lesser of two weevils.</p>
"
8003,"<p>Estaba una enorme fila de gente que aguardaba para llegar con San Pedro, ya que �l les dir�a si se iban al Cielo o al Infierno, en eso pasa una se�ora y �l le dice:</p>
<p>""Se�ora, confiese el mayor error que cometi� durante su vida"".</p>
<p>""La verdad, San Pedro, es que yo cuando me cas� ya no era virgen, pero mi esposo nunca lo supo"".</p>
<p>""Est� bien, hija, todos cometemos errores, adelante puedes pasar al Cielo"".</p>
<p>La se�ora se va al Cielo; despu�s de un rato, llega hasta San Pedro una mujer vieja, pero que a�n era virgen y antes de que San Pedro pudiera decirle algo, ella lo interrumpe y le dice muy orgullosa:</p>
<p>""Se�orita vieja"".</p>
<p>""Al Infierno por pendeja.""</p>
"
8004,"<p>A linguistics professor was lecturing to his class one day. ""In English,""<br /> he said, ""A double negative forms a positive. In some languages, though,<br /> such as Russian, a double negative is still a negative. However, there is<br /> no language wherein a double positive can form a negative."" A voice from<br /> the back of the room piped up, ""Yeah, right.""</p>
"
8005,"<p>Taoism: Shit happens.<br /> Buddhism: If shit happens, it's not really shit.<br /> Islam: If shit happens, it's the will of Allah<br /> Protestantism: Shit happens because you don't work hard enough.<br /> Judaism: Why does shit always happen to us?!<br /> Hinduism: This shit happened before.<br /> Catholicism: Shit happens because you're bad.<br /> Har Krisna: Shit happens, Rama Rama!<br /> T.V. Evangelism: Send more shit!!<br /> Atheism: No shit.<br /> Jehovah's Witness: Knock knock, shit happens.<br /> Hedonism: There's nothing like a good shit happenin'.<br /> Christian Science: Shit Happens in your mind.<br /> Agnosticism: Maybe shit happens, maybe it doesn't.<br /> Existentialism: What is shit anyway?<br /> Stoicism: This shit doesn't bother me.<br /> Rastafarianism: Let's smoke this shit!</p>
"
8006,"<p>These are supposedly actual signs that have appeared at various locations.Sign in a Rome laundry: ""Ladies, leave your clothes here and spend the afternoon having a good time.Sign in the window of a Swedish furrier: ""Fur coats made for ladies from their own skin."" Sign on the box of a clockwork toy made in Hong Kong: ""Guaranteed to work throughout its useful life."" Detour sign in Kobe, Japan: ""Stop: Drive Sideways.""</p>
"
8007,"<p>What's the best way to catch Pamela Anderson in the woods?</p>
<p>Use a booby trap!</p>
"
8008,"<p>hey everyone my name is Jarrah and I am just fuckin around!!</p>
"
8009,"<p>The cop got out of his car and went over to the other vehicle.</p>
<p>The kid, who was stopped for speeding, rolled down his window.</p>
<p>""I've been waiting for you all day,"" the cop said.</p>
<p>The kid replied, ""Yeah, well... I got here as fast as I could!""</p>
<p>Submitted by Calamjo<br /> Edited by Curtis</p>
"
8010,"<p>yo momma is soo fat that her blood type is rockey road!!</p>
"
8011,"<p>On a trip to the USA, a wealthy Arab fell in love with Susan.</p>
<p>He begged her to marry him, but she refused, saying that she had no intention of leaving America to live in a desert.</p>
<p>Immediately, the Arab bought several grand homes across the USA, from New England to California, and he took Susan on a tour of the homes, flying her from place to place in his private jet.</p>
<p>Susan was impressed, and she agreed to marry him.</p>
<p>Six weeks later, in tears, she phoned her father and asked him to take her back home.</p>
<p>""Whatever for?"" asked her father.</p>
<p>""I've married a pervert,"" she cried.</p>
<p>""What do you mean?"" he asked.</p>
<p>""I don't want to talk about it,"" she said. ""Just come and take me home.""</p>
<p>So her father drove to her New England home.</p>
<p>Arriving there, richly ornate gold gates opened electronically, and he drove along a wide, straight drive lined with oaks and maples.</p>
<p>And at the end of the mile-long drive was a building so grand that it made the White House look like a dog kennel.</p>
<p>He climbed the solid marble steps to huge doors, at least twelve feet tall, and there he met his daughter, waiting for him with her two bags packed and ready to go.</p>
<p>""Oh, father,"" she cried. ""Take me away from here at once. I cannot bear to stay a moment longer.""</p>
<p>Her father could not believe that she should want to leave such splendor.</p>
<p>""What's wrong, dear?"" he asked.</p>
<p>""The man is a pervert!"" she exclaimed.</p>
<p>He asked his daughter to explain this perversion that was upsetting her so.</p>
<p>""When I married him,"" she sobbed, ""my asshole was as tight as a penny piece, and now, it's as big as a half dollar.""</p>
<p>""Nay,"" said her father. ""surely you're not go to leave all this for the sake of forty-nine cents!"" </p>
<p>Submitted by Curtis<br /> Edited by Calamjo</p>
"
8012,"</p>
<dl>
<dt>Murphy's Laws of Combat Operations</dt>
<p> 
<dd>Odd objects attract fire - never lurk behind one.</dd>
</dl>
"
8013,"<p>The strong young man at the construction site was bragging that he could<br /> outdo anyone in a feat of strength. He made a special case of making fun of<br /> one of the older workmen. After several minutes, the older worker had had<br /> enough.</p>
<p>""Why don't you put your money where your mouth is,"" he said.<br /> ""I will bet a week's wages that I can haul something in a wheelbarrow over<br /> to that outbuilding that you won't be able to wheel back.""</p>
<p>""You're on, old man,"" the braggart replied. ""Let's see what you got.""</p>
<p>The old man reached out and grabbed the wheelbarrow by the handles.<br /> Then, nodding to the young man, he said...<br /> ""All right. Get in.""!</p>
"
8014,"<p>These are intended for entertainment purposes only. We do not advise that you ever do these things to a roommate or yourself.69. Tell your roommate that someone called and said that it was really important but you can't remember who it was.</p>
"
8015,"<p>In a Tokyo shop:  </p>
<p>Our nylons cost more than common, but you'll find they are best in the long run.</p>
"
8016,"<p>NOTICE OF REVOCATION OF INDEPENDENCETo the citizens of the United States of America,In the light of your failure to elect a President of the USA and thus to govern yourselves, we hereby give notice of the revocation of your independence, effective today.Her Sovereign Majesty Queen Elizabeth II will resume monarchical duties over all states, commonwealths and other territories. Except Utah, which she does not fancy. Your new prime minister (The right honourable Tony Blair, MP for the 97.85% of you who have until now been unaware that there is a world outside your borders) will appoint a minister for America without the need for further elections. Congress and the Senate will be disbanded. A questionnaire will be circulated next year to determine whether any of you noticed.To aid in the transition to a British Crown Dependency, the following rules are introduced with immediate effect:1. You should look up ""revocation"" in the Oxford English Dictionary. Then look up ""aluminium"". Check the pronunciation guide. You will be amazed at just how wrongly you have been pronouncing it. Generally, you should raise your vocabulary to acceptable levels. Look up ""vocabulary"". Using the same twenty seven words interspersed with filler noises such as ""like"" and ""you know"" is an unacceptable and inefficient form of communication. Look up ""interspersed"".2. There is no such thing as ""US English"". We will let Microsoft know on your behalf.3. You should learn to distinguish the English and Australian accents. It really isn't that hard.4. Hollywood will be required occasionally to cast English actors as the good guys.5. You should relearn your original national anthem, ""God Save The Queen"", but only after fully carrying out task 1. We would not want you to get confused and give up half way through.6. You should stop playing American ""football"". There is only one kind of football. What you refer to as American ""football"" is not a very good game. The 2.15% of you who are aware that there is a world outside your borders may have noticed that no one else plays ""American"" football. You will no longer be allowed to play it, and should instead play proper football. Initially, it would be best if you played with the girls. It is a difficult game. Those of you brave enough will, in time, be allowed to play rugby (which is similar to American ""football"", but does not involve stopping for a rest every twenty seconds or wearing full kevlar body armour like nancies). We are hoping to get together at least a US rugby sevens side by 2005.7. You should declare war on Quebec and France, using nuclear weapons if they give you any merde. The 98.85% of you who were not aware that there is a world outside your borders should count yourselves lucky. The Russians have never been the bad guys.""Merde"" is French for ""sh*t"".8. July 4th is no longer a public holiday. November 8th will be a new national holiday, but only in England. It will be called ""Indecisive Day"".9. All American cars are hereby banned. They are crap and it is for your own good. When we show you German cars, you will understand what we mean.10. Please tell us who killed JFK. It's been driving us bonkers.Thank you for your co-operation.</p>
"
8017,"<p>How can you tell if a redneck is married?</p>
<p>There is tobacco spit stains on both sides of his pickup truck.</p>
"
8018,"<p>It is a poor workman who blames his tools.</p>
"
8019,"<p>smoke a smoke<br /> not a butt<br /> fuck a virgin<br /> not a slut</p>
"
8020,"<p>Once there was a man in California. He was standing on a beach when God appeared to him. </p>
<p>God said, ""You've been a good man all your life and now I want to grant you one wish. Go ahead and wish for whatever you want.""</p>
<p>The man thought for a minute and then replied: ""You know, I've always wanted to go to Hawaii. Could you build me a highway to Hawaii so that I can drive there whenever I want?""</p>
<p>God exclaimed, ""That's impossible! The logistics....the engineering... I can't do that! Wish for something else.""</p>
<p>So the man told God, ""I've never been able to understand women. Could you give me the power to understand women?""</p>
<p>Submitted by Curtis<br /> Edited by Rocketman</p>
"
8021,"<p>One night at a bar, there was a Blonde and a Brunette sipping a beer and watching the news.  As they kept watching they saw a older woman standing on the side of a mountain, so the brunette thinks in her head (blondes are stupid, i can trick her) so the brunette looks at the blonde and says......"".I bet you 20 dollars that woman jumps off that mountain"".  So the blonde thinks for a second and then agrees on the bet.  Sure enough about 1 minute later the woman dives off the mountian.  As the blonde was pulling her 20 dollars out of her pocket the brunette looks at her and says...i am not going to do that to you, i watched the news eirler this morning and i saw the woman jump, then the blonde replies well i wathced it earlier to but hell i didnt know the stupid woman was going to jump again!!!!</p>
<p>Chad</p>
"
8022,"<p>There are three men one guy has a orange</p>
<p>the other has a bottle of water and</p>
<p>the other a car door.they are walking though the hot desert.So the guy with the </p>
<p>orange ate it the one with the water drank</p>
<p>it the guy with the car door said i'm going to roll down the window</p>
"
8023,"<p>What do a walrus and Tupperware have in common? They both like a tight seal.</p>
"
8024,"<p>This Indian boy goes to his mother one day with a puzzled look on his face. </p>
<p>""Say, mom, why is my bigger brother named ""Mighty Storm""? </p>
<p>""Because he was conceived during a mighty storm."" </p>
<p>""Why is my sister named ""Cornflower""? </p>
<p>""Well, your father and I were in a cornfield, when we made her."" </p>
<p>""And why is my other sister called ""Moonchild""? </p>
<p>""We were watching the moon landing while she was conceived."" </p>
<p>""Tell me, Torn Rubber, why are you so curious?""</p>
"
8025,"<p>............................................................................................................wah wah wah-wah-wah,wahwahwahwah.....................................wah</p>
"
8026,"<p>I walked into the living room the other day and caught my dad screwing my mum's purse.</p>
<p>So I said to him, ""What are you doing, dad?""</p>
<p>He replies, ""Well son, I've always wanted to come into money."" </p>
<p>Submitted by Calamjo<br /> Edited by Yisman</p>
"
8027,"<p>A little girl says, ""Grandpa, can I sit on your lap?""</p>
<p>""Why sure you can,"" her grandfather replied. As she is sitting on grand dad's lap she says, ""Grandpa, can you make a sound like a frog?"" </p>
<p>""A sound like a frog? Well, sure Grandpa can make a sound like a frog."" </p>
<p>The girl says, ""Grandpa, will you please please MAKE a sound like a frog?"" </p>
<p>Perplexed, her grand dad says, ""Sweet heart, why do you want me to make a sound like a frog?"" </p>
<p>And the little girl says, ""'Cause Grandma said that when you croak, we're going to Florida!""</p>
"
8028,"<p>Two friends from the Ozarks went hunting.  </p>
<p>When deep in the forest one of them stared shaking, turned pale, fell to the ground, thrashed around for a while and then lay still. </p>
<p>His friend was startled and worried.  He had no first aid training and did not know what to do.  </p>
<p>His friend had obviously had a seizure and perhaps had fainted or died. </p>
<p>He got out his cell phone and dialed a hospital in the nearest large city.  </p>
<p>He described to the emergency room nurse what had happened and said that he was afraid that his friend had died. </p>
<p>The nurse told him to keep calm and make sure that his friend was really dead. </p>
<p>There was a pause.  </p>
<p>The nurse heard a shot.  The hunter came back on the phone and said, ""Okay, I did that.  Now what?""</p>
<p>Edited by Curtis and Calamjo</p>
"
