ID,post_content
52000,"<p>""This won't hurt, I promise.""</p>
"
52001,"<p>1. I would not allow this employee to breed.<br /> 2. This associate is really not so much of a has-been, but more definitely a won�t be.<br /> 3. Works well when under constant supervision and cornered like a rat in a trap.<br /> 4. When she stops to open her mouth, it seems it is only to change whichever foot was previously there.<br /> 5. He would be out of his depth in a parking lot puddle.<br /> 6. This young lady has delusions of adequacy.<br /> 7. He sets low personal standards and then consistently fails to achieve them.<br /> 8. This employee is depriving a village somewhere of an idiot.<br /> 9. This employee should go far and sooner he starts, the better.<br /> 10. Not the sharpest knife in the drawer.<br /> 11. The biggest tool in the shed.<br /> 12. Got into the gene pool when the lifeguard wasn�t looking.<br /> 13. A room temperature IQ.<br /> 14. Got a full 6-pack, but lacks the plastic thingy to hold it together.<br /> 15. A gross ignoramus - 144 times worse than an ordinary ignoramus.<br /> 16. A photographic memory but with the lens cover glued on.<br /> 17. A prime candidate for natural deselection.<br /> 18. One-celled organisms outscore him in IQ tests.<br /> 19. Donated his brain to science before he was done using it.<br /> 20. Fell out of the family tree.<br /> 21. Bright as Alaska in December.<br /> 22. Gates are down, lights are flashing, but the train isn�t coming.<br /> 23. Has two brains: one is lost; and the other is looking for it.<br /> 24. If brains were taxed she would get a refund.<br /> 25. If he were any more stupid, he would have to be watered twice a week.<br /> 26. He�s so dense light bends around him.<br /> 27. If you gave him a penny for his thoughts you would get change.<br /> 28. If you stand close enough to him, you can hear the ocean.<br /> 29. It�s hard to believe he beat out 1,000,000 other sperm.<br /> 30. One neuron short of a synapse.<br /> 31. Takes him an hour and a half to watch 60 minutes.<br /> 32. Some drink from the fountain of knowledge, he only gargled.<br /> 33. Wheel is turning, but the hamster is dead.<br /> 34. Since my last report, this employee has reached rock bottom and has started to dig.<br /> 35. His men would follow him anywhere, but only out of mobid curiosity.</p>
"
52002,"<p>A man went into the proctologist's office for his first exam. The doctor told him to have a seat in the examination room and that he would be with him in just a few minutes. Well, when the man sat down in the examination room, he noticed that there were three items on a stand next to the doctor's desk: a tube of K-Y jelly, a rubber glove, and a beer.When the doctor came in, the man said, ""Look Doc, this is my first exam... I know what the K-Y is for... and I know what the glove is for...but what's the BEER for?""At this instant, the doctor became noticeably outraged and stormed over to the door. The doc flung the door open and yelled to his nurse, ""Dammit, nurse!!! I said a BUTT LIGHT!!!""</p>
"
52003,"<p>What did the elephant say to the naked man?</p>
<p>""How do you breathe through that thing?""</p>
<p>Submitted by Calamjo<br /> Edited by Curtis</p>
"
52004,"<p>Did you hear about the dyslexic Satanist? He sold his soul to SantaDid you hear about the guy that lost his left arm and leg in a car crash? He's all right now.How do crazy people go through the forest? They take the psycho path.How do you get holy water? Boil the hell out of it.How does a spoiled rich girl change a light bulb? She says, 'Daddy, I want a new apartment.'What did the fish say when he hit a concrete wall? 'Dam'.What do Eskimos get from sitting on the ice too long? Polaroids.What do prisoners use to call each other? Cell phones.What do the letters D.N.A. stand for? National Dyslexics Association.What do you call a boomerang that doesn't work? A stick.What do you call cheese that isn't yours? Nacho Cheese.What do you call Santa's helpers? Subordinate Clauses.What do you call four bull fighters in quicksand? Quatro sinko.What do you get from a pampered cow? Spoiled milk.What do you get when you cross a snowman with a vampire? Frostbite.What do you get when you cross an elephant and a skin doctor? A pachydermatologistWhat has four legs, is big, green, fuzzy, and if it fell out of a tree  would kill you? A pool table.What is a zebra? 26 sizes larger than an 'A' bra.What kind of coffee was served on the Titanic? Sanka. ....and what kind of lettuce? Iceberg.What lies at the bottom of the ocean and twitches? A nervous wreck.What's the difference between an oral thermometer and a rectal  thermometer? The taste.What's the difference between roast beef and pea soup? Anyone can roast beef.Where do you get virgin wool from? Ugly sheep.Why are there so many Smiths in the phone book? They all have phones.Why do bagpipers walk when they play? They're trying to get away from the noise.</p>
"
52005,"<p>Q: How many gardeners does it take to change a lightbulb?A:  Just one. The new light bulbs are just as easy to change as the older, heavier ones.</p>
"
52006,"<p>What are the 2 ways Blondes and dogs are the same?</p>
<p>They can both bleed for a week without dying and bury a bone without getting there nose dirty.</p>
"
52007,"<p>How many babies does it take to screw in a lightbulb?</p>
<p>What's a lightbulb?</p>
"
52008,"<p>There is this guy who walks into a bar and notices a man 12 inches tall<br /> playing the piano. He asks what it is all about and </p>
<p>the barman tells him he'll tell him later. </p>
<p>So he asks the barman for a drink and the barman says,<br /> 'Before you get your drink you get to rub the magic beer bottle and make a<br /> wish.'</p>
<p>'OK,' says the guy. </p>
<p>He goes to the bottle and rubs it and, boom, out comes a genie, who says,<br /> 'You have one wish.'</p>
<p>The man thinks about it and then wishes for a million bucks. A cloud of smoke<br /> fills the room and when the smoke clears there </p>
<p>are a million ducks crowding the bar.</p>
<p>He tells the barman,<br /> 'Hey, I didn't want a million ducks.'</p>
<p>The barman replies, 'You think I wanted a 12-inch pianist?'</p>
"
52009,"<p>A witness to an automobile accident was testifying. The lawyer asked him, ""Did<br /> you actually see the accident?""<br /> The witness: ""Yes, sir.""</p>
<p>The lawyer: ""How far away were you when the accident happened?""<br /> The witness: ""Thirty-one feet, six and one quarter inches.""</p>
<p>The lawyer (thinking he'd trap the witness): ""Well, sir, will you tell the<br /> jury how you knew it was exactly that distance?""<br /> The witness: ""Because when the accident happened I took out a tape and<br /> measured it. I knew some annoying lawyer would ask me that question.""</p>
"
